[ AI-Rank-Log  4/ 8 11:53:15.817 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 11:53:20.179 ]XNNPACK delegate is created.
[ AI-Rank-Log  4/ 8 11:53:20.204 ]test_begin
[ AI-Rank-Log  4/ 8 11:53:20.346 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:20.487 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:20.622 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:20.755 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:20.891 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:21. 25 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:21.158 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:21.299 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:21.434 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:21.575 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:21.711 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:21.847 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:21.981 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:22.116 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:22.249 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:22.378 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:22.515 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:22.653 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:22.790 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:22.927 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:23. 64 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:23.200 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:23.339 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:23.474 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:23.613 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:23.749 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:23.889 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:24. 24 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:24.163 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:24.300 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:24.443 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:24.580 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:24.717 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:24.863 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:25.  1 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:25.140 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:25.280 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:25.423 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:25.562 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:25.700 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:25.840 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:25.981 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:26.128 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:26.273 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:26.416 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:26.565 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:26.710 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:26.854 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:26.997 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:27.141 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:27.282 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:27.424 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:27.562 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:27.707 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:27.843 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:27.984 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:28.129 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:28.274 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:28.417 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:28.560 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:28.704 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:28.845 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:28.987 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:29.132 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:29.274 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:29.419 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:29.563 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:29.709 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:29.859 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:30.  8 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:30.154 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:30.305 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:30.450 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:30.598 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:30.746 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:30.894 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:31. 38 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:31.185 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:31.333 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:31.480 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:31.630 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:31.781 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:31.930 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:32. 80 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:32.232 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:32.385 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:32.533 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:32.686 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:32.838 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:32.986 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:33.134 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:33.289 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:33.438 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:33.588 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:33.745 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:33.896 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:34. 47 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:34.204 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:34.359 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:34.511 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:34.664 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:34.816 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:34.966 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:35.122 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:35.275 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:35.429 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:35.578 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:35.730 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:35.883 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:36. 40 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:36.192 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:36.346 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:36.501 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:36.654 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:36.811 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:36.968 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:37.119 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:37.275 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  4/ 8 11:53:37.431 ]sampleid: 000000012120.jpg, result=true
