[ AI-Rank-Log  4/ 8 13:56:58.321 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 13:57: 2.444 ]XNNPACK delegate is created.
[ AI-Rank-Log  4/ 8 13:57: 2.471 ]test_begin
[ AI-Rank-Log  4/ 8 13:57: 2.594 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 2.716 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 2.834 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 2.948 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 3. 65 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 3.182 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 3.297 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 3.420 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 3.535 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 3.657 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 3.775 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 3.893 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.  8 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.125 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.241 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.351 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.471 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.594 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.714 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.834 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 4.955 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 5. 75 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 5.197 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 5.316 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 5.437 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 5.557 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 5.680 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 5.798 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 5.920 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 6. 41 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 6.165 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 6.285 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 6.405 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 6.532 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 6.651 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 6.773 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 6.894 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7. 18 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7.140 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7.261 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7.383 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7.504 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7.627 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7.749 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7.871 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 7.996 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 8.121 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 8.246 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 8.372 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 8.498 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 8.621 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 8 13:57: 8.745 ]sampleid: 000000005477.jpg, result=true
