[ AI-Rank-Log  4/ 8 13:43:25.640 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 13:43:45.506 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 13:43:53.805 ]test_begin
[ AI-Rank-Log  4/ 8 13:43:53.970 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:54.161 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:54.346 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:54.532 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:54.712 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:54.895 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:55. 60 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:55.250 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:55.427 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:55.631 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:55.826 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:56. 22 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:56.222 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:56.419 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:56.612 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:56.771 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:56.958 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:57.159 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:57.346 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:57.546 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:57.721 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:57.902 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:58. 86 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:58.263 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:58.470 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:58.666 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:58.872 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:59. 66 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:59.265 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:59.469 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:59.646 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 8 13:43:59.829 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 0. 26 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 0.242 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 0.432 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 0.630 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 0.832 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 1. 50 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 1.239 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 1.429 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 1.631 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 1.830 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 2. 40 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 2.237 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 2.439 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 2.648 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 2.845 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 3. 49 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 3.249 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 3.449 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 3.642 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 3.843 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 4. 44 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 4.250 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 4.434 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 4.638 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 4.845 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 5. 51 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 5.249 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 5.449 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 5.650 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 5.846 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 6. 45 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 6.251 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 6.449 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 6.650 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 6.850 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 7. 53 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 7.261 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 7.491 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 7.691 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 7.907 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 8.116 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 8.331 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 8.535 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 8.744 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 8.966 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 9.172 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 9.355 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 9.555 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 9.772 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44: 9.986 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:10.211 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:10.422 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:10.653 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:10.871 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:11. 91 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:11.307 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:11.539 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:11.770 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:11.980 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:12.232 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:12.452 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:12.662 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:12.909 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:13.134 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:13.351 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:13.591 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:13.831 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:14. 57 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:14.270 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:14.494 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:14.706 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:14.949 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:15.185 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:15.423 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:15.651 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:15.867 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:16. 85 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:16.331 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:16.546 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:16.784 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:17. 23 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:17.265 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:17.506 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:17.748 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:17.971 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:18.197 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:18.431 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:18.671 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:18.914 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:19.157 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:19.387 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:19.628 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:19.870 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:20. 77 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:20.292 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:20.520 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:20.747 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:20.995 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:21.242 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:21.471 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:21.716 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:21.955 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:22.204 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:22.439 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:22.674 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:22.885 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:23. 88 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:23.343 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:23.595 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:23.839 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:24. 98 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:24.331 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:24.560 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:24.797 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:25. 53 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:25.285 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:25.526 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:25.768 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:26.  5 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:26.249 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:26.490 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:26.728 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:26.963 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:27.211 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:27.446 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:27.689 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:27.931 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:28.170 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:28.404 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  4/ 8 13:44:28.648 ]sampleid: 000000016439.jpg, result=true
