[ AI-Rank-Log  4/ 8 14:49:10.874 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 14:49:15.218 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 14:49:18.187 ]test_begin
[ AI-Rank-Log  4/ 8 14:49:18.232 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.279 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.330 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.381 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.439 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.509 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.565 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.616 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.663 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.725 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.781 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.826 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.879 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:18.938 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.  6 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19. 50 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19. 97 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.151 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.205 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.259 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.308 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.363 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.421 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.464 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.523 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.578 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.632 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.682 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.738 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.789 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.853 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.903 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:19.946 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20. 11 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20. 64 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.121 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.178 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.240 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.300 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.362 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.420 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.481 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.542 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.599 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.646 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.713 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.778 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.841 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.903 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:20.974 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21. 38 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21. 97 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.152 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.218 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.276 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.336 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.401 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.470 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.541 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.598 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.659 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.719 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.778 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 8 14:49:21.842 ]sampleid: 000000006723.jpg, result=true
