[ AI-Rank-Log  4/ 7 20:56:59.187 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 7 20:56:59.469 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 7 20:57: 0.678 ]test_begin
[ AI-Rank-Log  4/ 7 20:57: 0.709 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 0.740 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 0.768 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 0.792 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 0.825 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 0.858 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 0.894 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 0.944 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 0.985 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1. 31 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1. 71 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.114 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.151 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.197 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.238 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.273 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.332 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.384 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.431 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.471 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.515 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.560 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.606 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.644 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.687 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.725 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.767 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.792 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.830 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.870 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.918 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 7 20:57: 1.963 ]sampleid: 000000002587.jpg, result=true
