[ AI-Rank-Log  4/ 7 22:41:46.293 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 7 22:41:48. 16 ]XNNPACK delegate is created.
[ AI-Rank-Log  4/ 7 22:41:48. 29 ]test_begin
[ AI-Rank-Log  4/ 7 22:41:48. 85 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.132 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.177 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.219 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.261 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.305 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.347 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.393 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.436 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.483 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.527 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.571 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.612 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.656 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.698 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.737 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.782 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.827 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.870 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.914 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:48.959 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.  3 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49. 47 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49. 90 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.136 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.180 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.226 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.268 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.311 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.355 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.402 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.445 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.490 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.538 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.581 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.626 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.671 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.718 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.764 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.808 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.852 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.896 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.942 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:49.987 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:50. 31 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:50. 79 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:50.125 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:50.173 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:50.220 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:50.268 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:50.314 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 7 22:41:50.359 ]sampleid: 000000005477.jpg, result=true
