[ AI-Rank-Log  4/ 8 11:40:13.681 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 11:40:37.922 ]XNNPACK delegate is created.
[ AI-Rank-Log  4/ 8 11:40:38. 14 ]test_begin
[ AI-Rank-Log  4/ 8 11:40:38.339 ]sampleid: 000000000139.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:38.668 ]sampleid: 000000000285.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:38.975 ]sampleid: 000000000632.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:39.284 ]sampleid: 000000000724.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:39.591 ]sampleid: 000000000776.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:39.894 ]sampleid: 000000000785.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:40.197 ]sampleid: 000000000802.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:40.515 ]sampleid: 000000000872.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:40.819 ]sampleid: 000000000885.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:41.138 ]sampleid: 000000001000.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:41.446 ]sampleid: 000000001268.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:41.752 ]sampleid: 000000001296.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:42. 54 ]sampleid: 000000001353.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:42.360 ]sampleid: 000000001425.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:42.662 ]sampleid: 000000001490.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:42.950 ]sampleid: 000000001503.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:43.264 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:43.582 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:43.892 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 8 11:40:44.203 ]sampleid: 000000001761.jpg, result=true
